Id,Contract_Type,Gender,Marital_Status,Education_Level,Birth_Year,Age,Employment,Mobile_Number,Card_Number,Card_Expiry,Transaction_Device_Type,Card_Limit,Transaction_Amount,Transaction_Type,Transaction_Location,Card_Type,Card_Verification_Method,Monthly_Income,Annual_Income,EMI_Amount,Previous_Transaction_Count,Transaction_Hour,Is_Foreign_Transaction,Is_High_Transaction_Amount,Merchant_Risk_Score,Card_Usage_Location_Distance,Has_Recent_Card_Update,Transaction_Frequency_Weekday,Transaction_Frequency_Weekend,Fraud_Status
239,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,7777777777777777,2024,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
240,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,8888888888888888,2025,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
241,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,9999999999999999,2026,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
242,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,0000000000000000,2027,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
243,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,1111111111111111,2028,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
244,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,2222222222222222,2029,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
245,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,3333333333333333,2023,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
246,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,4444444444444444,2024,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
247,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,5555555555555555,2025,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
248,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,6666666666666666,2026,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
249,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,7777777777777777,2027,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
250,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,8888888888888888,2028,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
251,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,9999999999999999,2029,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
252,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,0000000000000000,2023,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
253,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,1111111111111111,2024,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
254,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,2222222222222222,2025,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
255,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,3333333333333333,2026,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
256,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,4444444444444444,2027,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
257,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,5555555555555555,2028,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
258,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,6666666666666666,2029,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
259,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,7777777777777777,2023,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
260,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,8888888888888888,2024,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
261,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,9999999999999999,2025,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
262,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,0000000000000000,2026,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
263,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,1111111111111111,2027,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
264,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,2222222222222222,2028,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
265,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,3333333333333333,2029,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
266,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,4444444444444444,2023,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
267,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,5555555555555555,2024,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
268,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,6666666666666666,2025,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
269,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,7777777777777777,2026,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
270,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,8888888888888888,2027,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
271,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,9999999999999999,2028,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
272,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,0000000000000000,2029,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
273,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,1111111111111111,2023,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
274,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,2222222222222222,2024,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
275,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,3333333333333333,2025,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
276,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,4444444444444444,2026,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
277,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,5555555555555555,2027,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
278,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,6666666666666666,2028,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
279,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,7777777777777777,2029,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
280,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,8888888888888888,2023,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
281,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,9999999999999999,2024,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
282,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,0000000000000000,2025,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
283,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,1111111111111111,2026,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
284,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,2222222222222222,2027,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
285,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,3333333333333333,2028,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
286,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,4444444444444444,2029,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
287,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,5555555555555555,2023,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
288,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,6666666666666666,2024,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
289,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,7777777777777777,2025,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
290,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,8888888888888888,2026,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
291,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,9999999999999999,2027,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
292,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,0000000000000000,2028,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
293,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,1111111111111111,2029,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
294,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,2222222222222222,2023,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
295,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,3333333333333333,2024,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
296,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,4444444444444444,2025,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
297,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,5555555555555555,2026,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
298,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,6666666666666666,2027,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
299,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,7777777777777777,2028,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
300,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,8888888888888888,2029,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
301,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,9999999999999999,2024,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
302,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,0000000000000000,2025,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
303,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,1111111111111111,2026,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
304,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,2222222222222222,2027,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
305,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,3333333333333333,2028,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
306,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,4444444444444444,2029,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
307,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,5555555555555555,2024,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
308,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,6666666666666666,2025,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
309,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,7777777777777777,2026,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
310,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,8888888888888888,2027,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
311,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,9999999999999999,2028,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
312,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,0000000000000000,2029,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
313,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,1111111111111111,2024,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
314,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,2222222222222222,2025,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
315,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,3333333333333333,2026,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
316,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,4444444444444444,2027,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
317,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,5555555555555555,2028,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
318,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,6666666666666666,2029,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
319,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,7777777777777777,2024,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
320,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,8888888888888888,2025,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
321,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,9999999999999999,2026,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
322,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,0000000000000000,2027,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
323,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,1111111111111111,2028,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
324,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,2222222222222222,2029,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
325,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,3333333333333333,2024,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
326,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,4444444444444444,2025,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
327,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,5555555555555555,2026,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
328,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,6666666666666666,2027,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
329,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,7777777777777777,2028,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
330,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,8888888888888888,2029,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
331,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,9999999999999999,2024,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
332,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,0000000000000000,2025,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
333,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,1111111111111111,2026,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
334,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,2222222222222222,2027,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
335,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,3333333333333333,2028,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
336,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,4444444444444444,2029,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
337,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,5555555555555555,2024,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
338,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,6666666666666666,2025,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
339,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,7777777777777777,2026,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
340,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,8888888888888888,2027,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
341,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,9999999999999999,2028,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
342,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,0000000000000000,2029,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
343,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,1111111111111111,2024,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
344,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,2222222222222222,2025,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
345,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,3333333333333333,2026,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
346,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,4444444444444444,2027,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
347,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,5555555555555555,2028,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
348,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,6666666666666666,2029,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
349,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,7777777777777777,2024,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
350,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,8888888888888888,2025,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
351,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,9999999999999999,2026,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
352,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,0000000000000000,2027,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
353,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,1111111111111111,2028,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
354,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,2222222222222222,2029,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
355,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,3333333333333333,2024,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
356,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,4444444444444444,2025,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
357,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,5555555555555555,2026,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
358,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,6666666666666666,2027,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
359,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,7777777777777777,2028,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
360,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,8888888888888888,2029,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
361,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,9999999999999999,2024,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
362,Fixed,Female,Single,Doctorate,1982,40,Self-Employed,9876543210,0000000000000000,2025,Tablet,170000,1500,Purchase,Pune,MasterCard,Offline,95000,1140000,7000,30,10,False,True,0.3,20,False,5,30,1
363,Variable,Male,Single,Graduate,1976,46,Unemployed,6543210987,1111111111111111,2026,Mobile,190000,5500,Withdrawal,Chennai,Visa,Online,105000,1260000,4000,70,6,False,False,0.2,90,True,30,10,0
364,Fixed,Female,Single,Post Graduate,1985,37,Employed,9876543210,2222222222222222,2027,Desktop,210000,4000,Transfer,Bangalore,MasterCard,Offline,90000,1080000,6000,80,20,False,True,0.1,100,False,5,20,1
365,Fixed,Other,Single,High School,1970,52,Self-Employed,1234567890,3333333333333333,2028,Tablet,140000,2500,Purchase,Hyderabad,Visa,Online,95000,1140000,5000,30,10,True,False,0.8,20,True,5,30,0
366,Variable,Female,Married,Doctorate,1969,53,Employed,6543210987,4444444444444444,2029,Mobile,220000,3000,Withdrawal,Delhi,MasterCard,Offline,105000,1260000,4000,10,8,True,True,0.6,90,True,30,10,1
367,Fixed,Male,Married,Graduate,1975,47,Employed,1234567890,5555555555555555,2024,Desktop,250000,5500,Transfer,Mumbai,Visa,Online,120000,1440000,3000,60,16,False,True,0.4,100,True,20,25,0
